"","mix.ID","sample","family","genus","species","question.1","question.2","question.3","spp.rich","pollen.grain.proportion","relatedness","sample.mix","quant.species.rbcL","qual.species.rbcL","quant.genus.rbcL","qual.genus.rbcL","quant.family.rbcL","qual.family.rbcL","quant.species.ITS","qual.species.ITS","quant.genus.ITS","qual.genus.ITS","quant.family.ITS","qual.family.ITS"
"114","mix2","S13","Poaceae","Zea","Zea mays",1,99,99,5,0.06,4,"mix2_S13",0,0,0,0,0.502834128878282,1,0,0,0,0,0.267494792068513,1
"115","mix2","S13","Asteraceae","Artemisia","Artemisia tridentata",1,99,99,5,0.23,4,"mix2_S13",0,0,0,0,0.0176014319809069,1,0,0,0.539526006044218,1,0.536995602191189,1
"116","mix2","S14","Amaranthaceae","Bassia","Bassia scoparia",1,99,99,5,0.09,4,"mix2_S14",0.120888742954085,1,0.118846505622209,1,0.081080148986067,1,0.393579072532699,1,0.201976860010727,1,0.204226918798665,1
"117","mix2","S14","Moraceae","Broussonetia","Broussonetia papyrifera",1,99,99,5,0.45,4,"mix2_S14",0.451814152027582,1,0.444181417119492,1,0.398848116981653,1,0.0118906064209275,1,0.00459734886215616,1,0.00444938820912125,1
"118","mix2","S14","Poaceae","Poa","Poa pratensis",1,99,99,5,0.17,4,"mix2_S14",0.282876374979478,1,0.285091730779577,1,0.495068285280728,1,0.410622275069362,1,0.280821392996705,1,0.281572117167223,1
"119","mix2","S14","Poaceae","Zea","Zea mays",1,99,99,5,0.06,4,"mix2_S14",0,0,0,0,0.495068285280728,1,0,0,0,0,0.281572117167223,1
"120","mix2","S14","Asteraceae","Artemisia","Artemisia tridentata",1,99,99,5,0.23,4,"mix2_S14",0,0,0,0,0.016795420057939,1,0,0,0.507777181825148,1,0.505079718205413,1
"121","mix2","S15","Amaranthaceae","Bassia","Bassia scoparia",1,99,99,5,0.09,4,"mix2_S15",0.142061143984221,1,0.141323273360418,1,0.093170095452659,1,0.399384510172679,1,0.199146981627297,1,0.202700120995988,1
"122","mix2","S15","Moraceae","Broussonetia","Broussonetia papyrifera",1,99,99,5,0.45,4,"mix2_S15",0.417011834319527,1,0.409024956471271,1,0.379587359933598,1,0.0100871943922038,1,0.00387139107611549,1,0.00375724383875693,1
"123","mix2","S15","Poaceae","Poa","Poa pratensis",1,99,99,5,0.17,4,"mix2_S15",0.296499013806706,1,0.297446314567615,1,0.500918954170866,1,0.410497520943751,1,0.275984251968504,1,0.275807170604343,1
"124","mix2","S15","Poaceae","Zea","Zea mays",1,99,99,5,0.06,4,"mix2_S15",0,0,0,0,0.500918954170866,1,0,0,0,0,0.275807170604343,1
"125","mix2","S15","Asteraceae","Artemisia","Artemisia tridentata",1,99,99,5,0.23,4,"mix2_S15",0,0,0,0,0.0187348076124978,1,0,0,0.516601049868766,1,0.513468763930459,1
